Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7u","C_0805_2012Metric",109.661000,-101.203000,270.000000,bottom
"C2","100n","C_0603_1608Metric",112.201000,-101.203000,270.000000,bottom
"C3","4.7u","C_0805_2012Metric",126.365000,-103.329500,270.000000,bottom
"C4","100n","C_0603_1608Metric",123.320000,-92.091500,270.000000,bottom
"C5","100n","C_0603_1608Metric",131.924000,-86.501500,90.000000,bottom
"C6","100n","C_0603_1608Metric",134.324000,-101.289000,0.000000,bottom
"C7","100n","C_0603_1608Metric",124.777500,-94.462500,90.000000,bottom
"C8","10n","C_0603_1608Metric",138.811000,-89.001500,90.000000,bottom
"R1","1k","R_0603_1608Metric",109.728000,-80.670500,90.000000,bottom
"R2","150","R_0603_1608Metric",174.774500,-98.679000,270.000000,bottom
"R3","150","R_0603_1608Metric",178.076500,-97.536000,270.000000,bottom
"R4","150","R_0603_1608Metric",179.664000,-99.187000,270.000000,bottom
"REF1","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",64.330000,-77.499000,-0.000000,bottom
"REF2","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",216.340000,-112.529000,-0.000000,bottom
"REF3","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",117.400000,-94.219000,-0.000000,bottom
"U1","USBLC6-2SC6","SOT-23-6",84.521000,-91.229000,90.000000,bottom
"U2","LD1117S33TR_SOT223","SOT-223-3_TabPin2",119.161000,-102.473000,0.000000,bottom
"U3","STM32F072C8Tx","LQFP-48_7x7mm_P0.5mm",131.904000,-94.189000,225.000000,bottom
