Designator,Val,Package,Mid X, Mid Y,Rotation,Layer
C1,4.7u,C_0805_2012Metric,116.37,-100.269,90,bottom
C2,100n,C_0603_1608Metric,118.37,-100.169,90,bottom
C3,4.7u,C_0805_2012Metric,126.365,-103.3295,-90,bottom
C4,100n,C_0603_1608Metric,123.32,-91.999,-90,bottom
C5,100n,C_0603_1608Metric,131.924,-86.5015,90,bottom
C6,100n,C_0603_1608Metric,134.324,-101.289,0,bottom
C7,100n,C_0603_1608Metric,124.9,-94.4625,90,bottom
C8,10n,C_0603_1608Metric,138.811,-89.0015,90,bottom
R1,1k,R_0603_1608Metric,108.728,-81.7705,90,bottom
R2,120,R_0603_1608Metric,174.7745,-98.679,-90,bottom
R3,120,R_0603_1608Metric,178.0765,-97.536,-90,bottom
R4,120,R_0603_1608Metric,179.664,-99.187,-90,bottom
REF1,Fiducial_0.75mm_Mask1.5mm,Fiducial_0.75mm_Mask1.5mm,64.33,-77.499,0,bottom
REF2,Fiducial_0.75mm_Mask1.5mm,Fiducial_0.75mm_Mask1.5mm,216.34,-112.529,0,bottom
REF3,Fiducial_0.75mm_Mask1.5mm,Fiducial_0.75mm_Mask1.5mm,117.4,-94.219,0,bottom
U1,USBLC6-2SC6,SOT-23-6,84.521,-91.229,90,bottom
U2,XC6206P332PR,SOT-89-3,122.27,-100.969,180,bottom
U3,STM32F072CBT6,LQFP-48_7x7mm_P0.5mm,131.904,-94.189,-135,bottom
